DATE,high_tax_rate,low_tax_rate
1913-01-01,7.000,1.000
1914-01-01,7.000,1.000
1915-01-01,7.000,1.000
1916-01-01,15.000,2.000
1917-01-01,67.000,2.000
1918-01-01,77.000,6.000
1919-01-01,73.000,4.000
1920-01-01,73.000,4.000
1921-01-01,73.000,4.000
1922-01-01,58.000,4.000
1923-01-01,43.500,3.000
1924-01-01,46.000,1.500
1925-01-01,25.000,1.125
1926-01-01,25.000,1.125
1927-01-01,25.000,1.125
1928-01-01,25.000,1.125
1929-01-01,24.000,0.375
1930-01-01,25.000,1.125
1931-01-01,25.000,1.125
1932-01-01,63.000,4.000
1933-01-01,63.000,4.000
1934-01-01,63.000,4.000
1935-01-01,63.000,4.000
1936-01-01,79.000,4.000
1937-01-01,79.000,4.000
1938-01-01,79.000,4.000
1939-01-01,79.000,4.000
1940-01-01,81.100,4.400
1941-01-01,81.000,10.000
1942-01-01,88.000,19.000
1943-01-01,88.000,19.000
1944-01-01,94.000,23.000
1945-01-01,94.000,23.000
1946-01-01,86.450,19.000
1947-01-01,86.450,19.000
1948-01-01,82.130,16.600
1949-01-01,82.130,16.600
1950-01-01,84.360,17.400
1951-01-01,91.000,20.400
1952-01-01,92.000,22.200
1953-01-01,92.000,22.200
1954-01-01,91.000,20.000
1955-01-01,91.000,20.000
1956-01-01,91.000,20.000
1957-01-01,91.000,20.000
1958-01-01,91.000,20.000
1959-01-01,91.000,20.000
1960-01-01,91.000,20.000
1961-01-01,91.000,20.000
1962-01-01,91.000,20.000
1963-01-01,91.000,20.000
1964-01-01,77.000,16.000
1965-01-01,70.000,14.000
1966-01-01,70.000,14.000
1967-01-01,70.000,14.000
1968-01-01,75.250,14.000
1969-01-01,77.000,14.000
1970-01-01,71.750,14.000
1971-01-01,70.000,14.000
1972-01-01,70.000,14.000
1973-01-01,70.000,14.000
1974-01-01,70.000,14.000
1975-01-01,70.000,14.000
1976-01-01,70.000,14.000
1977-01-01,70.000,14.000
1978-01-01,70.000,14.000
1979-01-01,70.000,14.000
1980-01-01,70.000,14.000
1981-01-01,69.125,14.000
1982-01-01,50.000,12.000
1983-01-01,50.000,11.000
1984-01-01,50.000,11.000
1985-01-01,50.000,11.000
1986-01-01,50.000,11.000
1987-01-01,38.500,11.000
1988-01-01,28.000,15.000
1989-01-01,28.000,15.000
1990-01-01,28.000,15.000
1991-01-01,31.000,15.000
1992-01-01,31.000,15.000
1993-01-01,39.600,15.000
1994-01-01,39.600,15.000
1995-01-01,39.600,15.000
1996-01-01,39.600,15.000
1997-01-01,39.600,15.000
1998-01-01,39.600,15.000
1999-01-01,39.600,15.000
2000-01-01,39.600,15.000
2001-01-01,39.100,10.000
2002-01-01,38.600,10.000
2003-01-01,35.000,10.000
2004-01-01,35.000,10.000
2005-01-01,35.000,10.000
2006-01-01,35.000,10.000
2007-01-01,35.000,10.000
2008-01-01,35.000,10.000
2009-01-01,35.000,10.000
2010-01-01,35.000,10.000
2011-01-01,35.000,10.000
2012-01-01,35.000,10.000
2013-01-01,39.600,10.000
2014-01-01,39.600,10.000
2015-01-01,39.600,10.000
