Date,Value
1-Jan-18,"2,683.73"
1-Jan-17,"2,322.23"
1-Jan-16,"2,007.28"
1-Jan-15,"2,151.06"
1-Jan-14,"1,931.05"
1-Jan-13,"1,593.46"
1-Jan-12,"1,422.23"
1-Jan-11,"1,443.62"
1-Jan-10,"1,285.26"
1-Jan-09,"1,016.13"
1-Jan-08,"1,619.05"
1-Jan-07,"1,743.94"
1-Jan-06,"1,598.36"
1-Jan-05,"1,535.57"
1-Jan-04,"1,515.74"
1-Jan-03,"1,222.06"
1-Jan-02,"1,595.82"
1-Jan-01,"1,890.68"
1-Jan-00,"2,093.35"
1-Jan-99,"1,883.92"
1-Jan-98,"1,477.63"
1-Jan-97,"1,193.72"
1-Jan-96,986.36
1-Jan-95,767.27
1-Jan-94,801.91
1-Jan-93,756.52
1-Jan-92,746.8
1-Jan-91,599.39
1-Jan-90,661.44
1-Jan-89,584.16
1-Jan-88,536.65
1-Jan-87,589.58
1-Jan-86,470.86
1-Jan-85,403.17
1-Jan-84,404.76
1-Jan-83,365.72
1-Jan-82,308.32
1-Jan-81,378.92
1-Jan-80,353.32
1-Jan-79,361.86
1-Jan-78,357.92
1-Jan-77,439.81
1-Jan-76,431.81
1-Jan-75,345.21
1-Jan-74,511.21
1-Jan-73,688.91
1-Jan-72,622.98
1-Jan-71,582.24
1-Jan-70,592.19
1-Jan-69,710.18
1-Jan-68,690.83
1-Jan-67,636.24
1-Jan-66,727.39
1-Jan-65,684.18
1-Jan-64,613.25
1-Jan-63,530.47
1-Jan-62,570.67
1-Jan-61,496.73
1-Jan-60,490.91
1-Jan-59,475.39
1-Jan-58,356.37
1-Jan-57,407.99
1-Jan-56,408.33
1-Jan-55,330.49
1-Jan-54,234.6
1-Jan-53,243.95
1-Jan-52,226.26
1-Jan-51,206.98
1-Jan-50,178.04
1-Jan-49,158.63
1-Jan-48,155.1
1-Jan-47,175.35
1-Jan-46,245.42
1-Jan-45,187.85
1-Jan-44,168.81
1-Jan-43,147.99
1-Jan-42,140.98
1-Jan-41,185.46
1-Jan-40,219.34
1-Jan-39,221.31
1-Jan-38,197.42
1-Jan-37,309.22
1-Jan-36,247.15
1-Jan-35,168.77
1-Jan-34,197.92
1-Jan-33,136.23
1-Jan-32,143.87
1-Jan-31,249.11
1-Jan-30,314.69
1-Jan-29,360.35
1-Jan-28,251.16
1-Jan-27,189.8
1-Jan-26,175.17
1-Jan-25,151.59
1-Jan-24,126.51
1-Jan-23,131.31
1-Jan-22,107.07
1-Jan-21,92.75
1-Jan-20,113.4
1-Jan-19,117.92
1-Jan-18,127.65
1-Jan-17,202.74
1-Jan-16,222.37
1-Jan-15,183.57
1-Jan-14,207.46
1-Jan-13,235.22
1-Jan-12,247.6
1-Jan-11,248.94
1-Jan-10,252.37
1-Jan-09,251.19
1-Jan-08,196.06
1-Jan-07,267.75
1-Jan-06,288.84
1-Jan-05,246.7
1-Jan-04,199.97
1-Jan-03,242.14
1-Jan-02,254.77
1-Jan-01,227.29
1-Jan-00,191.39
"Jan 1, 1899",222.93
"Jan 1, 1898",181.62
"Jan 1, 1897",161.67
"Jan 1, 1896",158.92
"Jan 1, 1895",160.34
"Jan 1, 1894",156.32
"Jan 1, 1893",176.02
"Jan 1, 1892",186.32
"Jan 1, 1891",153.8
"Jan 1, 1890",175.23
"Jan 1, 1889",162.56
"Jan 1, 1888",157.25
"Jan 1, 1887",173.1
"Jan 1, 1886",161.32
"Jan 1, 1885",126.93
"Jan 1, 1884",139.11
"Jan 1, 1883",144.15
"Jan 1, 1882",144.14
"Jan 1, 1881",162.88
"Jan 1, 1880",126.79
"Jan 1, 1879",107.17
"Jan 1, 1878",87.28
"Jan 1, 1877",80.43
"Jan 1, 1876",101.89
"Jan 1, 1875",97.77
"Jan 1, 1874",93.38
"Jan 1, 1873",97.88
"Jan 1, 1872",95.23
"Jan 1, 1871",88.32
